"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 30 16:18:50 GMT 2023","Thu Mar 30 16:18:50 GMT 2023","154","","SearchTest","","SearchTest","testSearchInoutField","Clear search input after searching",""
"broken","Thu Mar 30 16:18:52 GMT 2023","Thu Mar 30 16:18:52 GMT 2023","137","","VideoPlayTest","","VideoPlayTest","fullScreenTest","fullScreenTest()",""
"broken","Thu Mar 30 16:18:50 GMT 2023","Thu Mar 30 16:18:50 GMT 2023","138","","SearchTest","","SearchTest","testSearchInputVariations","Test search input variation while navigate through youtube",""
"broken","Thu Mar 30 16:18:51 GMT 2023","Thu Mar 30 16:18:51 GMT 2023","139","","VideoPlayTest","","VideoPlayTest","videoQuality480pTest","videoQuality480pTest()",""
"broken","Thu Mar 30 16:18:49 GMT 2023","Thu Mar 30 16:18:50 GMT 2023","148","","SearchTest","","SearchTest","testWithWronglyWriteInputDate","Search with wrongly write input data",""
"broken","Thu Mar 30 16:18:48 GMT 2023","Thu Mar 30 16:18:49 GMT 2023","151","","PlaylistTest","","PlaylistTest","deleteAnAddedVideoFromPlaylist","Delete previously added video from playlist",""
"broken","Thu Mar 30 16:18:51 GMT 2023","Thu Mar 30 16:18:51 GMT 2023","153","","VideoPlayTest","","VideoPlayTest","videoQuality720pTest","videoQuality720pTest()",""
"broken","Thu Mar 30 16:18:50 GMT 2023","Thu Mar 30 16:18:51 GMT 2023","168","","LoginTest","","LoginTest","accountSettingsTest","accountSettingsTest()",""
"broken","Thu Mar 30 16:18:51 GMT 2023","Thu Mar 30 16:18:51 GMT 2023","154","","VideoPlayTest","","VideoPlayTest","miniplayerTest","miniplayerTest()",""
"broken","Thu Mar 30 16:18:52 GMT 2023","Thu Mar 30 16:18:52 GMT 2023","132","","VideoPlayTest","","VideoPlayTest","annotationsTest","annotationsTest()",""
"broken","Thu Mar 30 16:18:53 GMT 2023","Thu Mar 30 16:18:53 GMT 2023","136","","TestYoutube","","TestYoutube","AddCommentAndLike","AddCommentAndLike()",""
"broken","Thu Mar 30 16:18:52 GMT 2023","Thu Mar 30 16:18:52 GMT 2023","148","","VideoPlayTest","","VideoPlayTest","videoSpeed05Test","videoSpeed05Test()",""
"broken","Thu Mar 30 16:18:50 GMT 2023","Thu Mar 30 16:18:50 GMT 2023","141","","LoginTest","","LoginTest","logOutTest","logOutTest()",""
"broken","Thu Mar 30 16:18:48 GMT 2023","Thu Mar 30 16:18:48 GMT 2023","333","","PlaylistTest","","PlaylistTest","goToPlaylist","Go to playlistMenu",""
"broken","Thu Mar 30 16:18:50 GMT 2023","Thu Mar 30 16:18:50 GMT 2023","153","","LoginTest","","LoginTest","logOutFunctionTest","logOutFunctionTest()",""
"broken","Thu Mar 30 16:18:52 GMT 2023","Thu Mar 30 16:18:52 GMT 2023","139","","VideoPlayTest","","VideoPlayTest","videoSpeed2Test","videoSpeed2Test()",""
"broken","Thu Mar 30 16:18:53 GMT 2023","Thu Mar 30 16:18:53 GMT 2023","165","","TestYoutube","","TestYoutube","SubscribeToChannel","SubscribeToChannel()",""
