"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 30 16:18:49 GMT 2023","Thu Mar 30 16:18:49 GMT 2023","144","","SearchTest","","SearchTest","searchForAVideoAndValidate","Search for a video and validate",""
"broken","Thu Mar 30 16:18:49 GMT 2023","Thu Mar 30 16:18:49 GMT 2023","244","","SearchTest","","SearchTest","goToLibraryAndDeleteHistory","Delete history",""
"broken","Thu Mar 30 16:18:50 GMT 2023","Thu Mar 30 16:18:50 GMT 2023","153","","LoginTest","","LoginTest","loginFunctionTest","loginFunctionTest()",""
"broken","Thu Mar 30 16:18:49 GMT 2023","Thu Mar 30 16:18:49 GMT 2023","146","","PlaylistTest","","PlaylistTest","deletePlaylist","Delete playlist",""
"broken","Thu Mar 30 16:18:51 GMT 2023","Thu Mar 30 16:18:51 GMT 2023","145","","VideoPlayTest","","VideoPlayTest","navigateToVideoTest","navigateToVideoTest()",""
"broken","Thu Mar 30 16:18:51 GMT 2023","Thu Mar 30 16:18:51 GMT 2023","137","","VideoPlayTest","","VideoPlayTest","videoSpeed025Test","videoSpeed025Test()",""
"broken","Thu Mar 30 16:18:49 GMT 2023","Thu Mar 30 16:18:49 GMT 2023","157","","PlaylistTest","","PlaylistTest","addMultipleVioToPlaylist","Add multiple Video To test playlist",""
"broken","Thu Mar 30 16:18:49 GMT 2023","Thu Mar 30 16:18:49 GMT 2023","144","","PlaylistTest","","PlaylistTest","addVideoToPlaylist","Add video to already created playlist",""
"broken","Thu Mar 30 16:18:45 GMT 2023","Thu Mar 30 16:18:48 GMT 2023","3013","","PlaylistTest","","PlaylistTest","createANewPlaylist","Create new playlist",""
"broken","Thu Mar 30 16:18:51 GMT 2023","Thu Mar 30 16:18:51 GMT 2023","152","","VideoPlayTest","","VideoPlayTest","stopVideoTest","stopVideoTest()",""
"broken","Thu Mar 30 16:18:52 GMT 2023","Thu Mar 30 16:18:52 GMT 2023","201","","VideoPlayTest","","VideoPlayTest","theaterModeTest","theaterModeTest()",""
"broken","Thu Mar 30 16:18:53 GMT 2023","Thu Mar 30 16:18:53 GMT 2023","135","","TestYoutube","","TestYoutube","UnsubscribeFromChannel","UnsubscribeFromChannel()",""
"broken","Thu Mar 30 16:18:52 GMT 2023","Thu Mar 30 16:18:53 GMT 2023","152","","VideoPlayTest","","VideoPlayTest","likeDislikeVideoTest","likeDislikeVideoTest()",""
"broken","Thu Mar 30 16:18:51 GMT 2023","Thu Mar 30 16:18:52 GMT 2023","133","","VideoPlayTest","","VideoPlayTest","playStopActionsTest","playStopActionsTest()",""
