"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 30 16:45:47 GMT 2023","Thu Mar 30 16:46:05 GMT 2023","17199","","VideoPlayTest","","VideoPlayTest","videoSpeed2Test","videoSpeed2Test()",""
"broken","Thu Mar 30 16:40:52 GMT 2023","Thu Mar 30 16:40:55 GMT 2023","3160","","LoginTest","","LoginTest","accountSettingsTest","accountSettingsTest()",""
"broken","Thu Mar 30 16:40:50 GMT 2023","Thu Mar 30 16:41:08 GMT 2023","17888","","PlaylistTest","","PlaylistTest","deleteAnAddedVideoFromPlaylist","Delete previously added video from playlist",""
"broken","Thu Mar 30 16:44:55 GMT 2023","Thu Mar 30 16:45:13 GMT 2023","17345","","VideoPlayTest","","VideoPlayTest","playStopActionsTest","playStopActionsTest()",""
"broken","Thu Mar 30 16:40:33 GMT 2023","Thu Mar 30 16:40:52 GMT 2023","18634","","LoginTest","","LoginTest","logOutTest","logOutTest()",""
"broken","Thu Mar 30 16:46:36 GMT 2023","Thu Mar 30 16:46:52 GMT 2023","15051","","VideoPlayTest","","VideoPlayTest","likeDislikeVideoTest","likeDislikeVideoTest()",""
"broken","Thu Mar 30 16:43:13 GMT 2023","Thu Mar 30 16:43:30 GMT 2023","17291","","VideoPlayTest","","VideoPlayTest","videoQuality720pTest","videoQuality720pTest()",""
"broken","Thu Mar 30 16:46:52 GMT 2023","Thu Mar 30 16:47:06 GMT 2023","14798","","TestYoutube","","TestYoutube","SubscribeToChannel","SubscribeToChannel()",""
"broken","Thu Mar 30 16:42:17 GMT 2023","Thu Mar 30 16:42:34 GMT 2023","16295","","SearchTest","","SearchTest","goToLibraryAndDeleteHistory","Delete history",""
"broken","Thu Mar 30 16:46:22 GMT 2023","Thu Mar 30 16:46:36 GMT 2023","14690","","VideoPlayTest","","VideoPlayTest","annotationsTest","annotationsTest()",""
"broken","Thu Mar 30 16:46:05 GMT 2023","Thu Mar 30 16:46:22 GMT 2023","17217","","VideoPlayTest","","VideoPlayTest","fullScreenTest","fullScreenTest()",""
"broken","Thu Mar 30 16:43:30 GMT 2023","Thu Mar 30 16:43:47 GMT 2023","17183","","VideoPlayTest","","VideoPlayTest","videoQuality480pTest","videoQuality480pTest()",""
"broken","Thu Mar 30 16:44:04 GMT 2023","Thu Mar 30 16:44:21 GMT 2023","16999","","VideoPlayTest","","VideoPlayTest","stopVideoTest","stopVideoTest()",""
"broken","Thu Mar 30 16:40:11 GMT 2023","Thu Mar 30 16:40:50 GMT 2023","39674","","PlaylistTest","","PlaylistTest","goToPlaylist","Go to playlistMenu",""
"broken","Thu Mar 30 16:42:34 GMT 2023","Thu Mar 30 16:42:50 GMT 2023","16454","","SearchTest","","SearchTest","searchForAVideoAndValidate","Search for a video and validate",""
"broken","Thu Mar 30 16:47:21 GMT 2023","Thu Mar 30 16:47:36 GMT 2023","14618","","TestYoutube","","TestYoutube","AddCommentAndLike","AddCommentAndLike()",""
"broken","Thu Mar 30 16:43:07 GMT 2023","Thu Mar 30 16:43:13 GMT 2023","5871","","SearchTest","","SearchTest","testSearchInputVariations","Test search input variation while navigate through youtube",""
"broken","Thu Mar 30 16:45:13 GMT 2023","Thu Mar 30 16:45:30 GMT 2023","17491","","VideoPlayTest","","VideoPlayTest","videoSpeed05Test","videoSpeed05Test()",""
"broken","Thu Mar 30 16:41:08 GMT 2023","Thu Mar 30 16:41:24 GMT 2023","15980","","PlaylistTest","","PlaylistTest","addVideoToPlaylist","Add video to already created playlist",""
"broken","Thu Mar 30 16:47:06 GMT 2023","Thu Mar 30 16:47:21 GMT 2023","15069","","TestYoutube","","TestYoutube","UnsubscribeFromChannel","UnsubscribeFromChannel()",""
"broken","Thu Mar 30 16:43:47 GMT 2023","Thu Mar 30 16:44:04 GMT 2023","16735","","VideoPlayTest","","VideoPlayTest","videoSpeed025Test","videoSpeed025Test()",""
"broken","Thu Mar 30 16:44:21 GMT 2023","Thu Mar 30 16:44:38 GMT 2023","17213","","VideoPlayTest","","VideoPlayTest","miniplayerTest","miniplayerTest()",""
"broken","Thu Mar 30 16:44:38 GMT 2023","Thu Mar 30 16:44:55 GMT 2023","17183","","VideoPlayTest","","VideoPlayTest","navigateToVideoTest","navigateToVideoTest()",""
"broken","Thu Mar 30 16:39:41 GMT 2023","Thu Mar 30 16:40:11 GMT 2023","30335","","LoginTest","","LoginTest","logOutFunctionTest","logOutFunctionTest()",""
"broken","Thu Mar 30 16:41:24 GMT 2023","Thu Mar 30 16:41:41 GMT 2023","16407","","PlaylistTest","","PlaylistTest","addMultipleVioToPlaylist","Add multiple Video To test playlist",""
"broken","Thu Mar 30 16:39:41 GMT 2023","Thu Mar 30 16:40:11 GMT 2023","29240","","PlaylistTest","","PlaylistTest","createANewPlaylist","Create new playlist",""
"broken","Thu Mar 30 16:40:12 GMT 2023","Thu Mar 30 16:40:33 GMT 2023","21719","","LoginTest","","LoginTest","loginFunctionTest","loginFunctionTest()",""
"broken","Thu Mar 30 16:45:30 GMT 2023","Thu Mar 30 16:45:47 GMT 2023","17050","","VideoPlayTest","","VideoPlayTest","theaterModeTest","theaterModeTest()",""
"broken","Thu Mar 30 16:42:50 GMT 2023","Thu Mar 30 16:42:56 GMT 2023","5715","","SearchTest","","SearchTest","testWithWronglyWriteInputDate","Search with wrongly write input data",""
"broken","Thu Mar 30 16:41:41 GMT 2023","Thu Mar 30 16:42:17 GMT 2023","36758","","PlaylistTest","","PlaylistTest","deletePlaylist","Delete playlist",""
"broken","Thu Mar 30 16:42:56 GMT 2023","Thu Mar 30 16:43:07 GMT 2023","11072","","SearchTest","","SearchTest","testSearchInoutField","Clear search input after searching",""
