"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 30 17:49:36 GMT 2023","Thu Mar 30 17:49:54 GMT 2023","18589","","VideoPlayTest","","VideoPlayTest","videoSpeed2Test","videoSpeed2Test()",""
"broken","Thu Mar 30 17:44:12 GMT 2023","Thu Mar 30 17:44:28 GMT 2023","15859","","PlaylistTest","","PlaylistTest","addMultipleVioToPlaylist","Add multiple Video To test playlist",""
"broken","Thu Mar 30 17:48:28 GMT 2023","Thu Mar 30 17:48:45 GMT 2023","16867","","VideoPlayTest","","VideoPlayTest","navigateToVideoTest","navigateToVideoTest()",""
"broken","Thu Mar 30 17:51:01 GMT 2023","Thu Mar 30 17:51:15 GMT 2023","14078","","TestYoutube","","TestYoutube","UnsubscribeFromChannel","UnsubscribeFromChannel()",""
"broken","Thu Mar 30 17:42:46 GMT 2023","Thu Mar 30 17:43:05 GMT 2023","18110","","PlaylistTest","","PlaylistTest","createANewPlaylist","Create new playlist",""
"broken","Thu Mar 30 17:47:55 GMT 2023","Thu Mar 30 17:48:12 GMT 2023","16733","","VideoPlayTest","","VideoPlayTest","stopVideoTest","stopVideoTest()",""
"broken","Thu Mar 30 17:47:39 GMT 2023","Thu Mar 30 17:47:55 GMT 2023","16331","","VideoPlayTest","","VideoPlayTest","videoSpeed025Test","videoSpeed025Test()",""
"broken","Thu Mar 30 17:51:15 GMT 2023","Thu Mar 30 17:51:31 GMT 2023","16624","","TestYoutube","","TestYoutube","AddCommentAndLike","AddCommentAndLike()",""
"broken","Thu Mar 30 17:48:45 GMT 2023","Thu Mar 30 17:49:02 GMT 2023","16714","","VideoPlayTest","","VideoPlayTest","playStopActionsTest","playStopActionsTest()",""
"broken","Thu Mar 30 17:45:59 GMT 2023","Thu Mar 30 17:46:16 GMT 2023","16936","","LoginTest","","LoginTest","logOutFunctionTest","logOutFunctionTest()",""
"broken","Thu Mar 30 17:47:23 GMT 2023","Thu Mar 30 17:47:39 GMT 2023","16226","","VideoPlayTest","","VideoPlayTest","videoQuality480pTest","videoQuality480pTest()",""
"broken","Thu Mar 30 17:46:49 GMT 2023","Thu Mar 30 17:47:06 GMT 2023","16710","","LoginTest","","LoginTest","accountSettingsTest","accountSettingsTest()",""
"broken","Thu Mar 30 17:46:33 GMT 2023","Thu Mar 30 17:46:49 GMT 2023","16523","","LoginTest","","LoginTest","logOutTest","logOutTest()",""
"broken","Thu Mar 30 17:49:02 GMT 2023","Thu Mar 30 17:49:19 GMT 2023","16860","","VideoPlayTest","","VideoPlayTest","videoSpeed05Test","videoSpeed05Test()",""
"broken","Thu Mar 30 17:50:28 GMT 2023","Thu Mar 30 17:50:44 GMT 2023","16401","","VideoPlayTest","","VideoPlayTest","likeDislikeVideoTest","likeDislikeVideoTest()",""
"broken","Thu Mar 30 17:48:12 GMT 2023","Thu Mar 30 17:48:28 GMT 2023","16597","","VideoPlayTest","","VideoPlayTest","miniplayerTest","miniplayerTest()",""
"broken","Thu Mar 30 17:45:41 GMT 2023","Thu Mar 30 17:45:52 GMT 2023","10623","","SearchTest","","SearchTest","testSearchInoutField","Clear search input after searching",""
"broken","Thu Mar 30 17:47:06 GMT 2023","Thu Mar 30 17:47:23 GMT 2023","16630","","VideoPlayTest","","VideoPlayTest","videoQuality720pTest","videoQuality720pTest()",""
"broken","Thu Mar 30 17:45:20 GMT 2023","Thu Mar 30 17:45:36 GMT 2023","15871","","SearchTest","","SearchTest","searchForAVideoAndValidate","Search for a video and validate",""
"broken","Thu Mar 30 17:43:05 GMT 2023","Thu Mar 30 17:43:41 GMT 2023","36639","","PlaylistTest","","PlaylistTest","goToPlaylist","Go to playlistMenu",""
