"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 30 16:35:26 GMT 2023","Thu Mar 30 16:35:26 GMT 2023","151","","VideoPlayTest","","VideoPlayTest","theaterModeTest","theaterModeTest()",""
"broken","Thu Mar 30 16:35:23 GMT 2023","Thu Mar 30 16:35:23 GMT 2023","242","","SearchTest","","SearchTest","testWithWronglyWriteInputDate","Search with wrongly write input data",""
"broken","Thu Mar 30 16:35:25 GMT 2023","Thu Mar 30 16:35:25 GMT 2023","226","","VideoPlayTest","","VideoPlayTest","stopVideoTest","stopVideoTest()",""
"broken","Thu Mar 30 16:35:23 GMT 2023","Thu Mar 30 16:35:24 GMT 2023","344","","LoginTest","","LoginTest","logOutFunctionTest","logOutFunctionTest()",""
"broken","Thu Mar 30 16:35:15 GMT 2023","Thu Mar 30 16:35:22 GMT 2023","6807","","PlaylistTest","","PlaylistTest","createANewPlaylist","Create new playlist",""
"broken","Thu Mar 30 16:35:23 GMT 2023","Thu Mar 30 16:35:23 GMT 2023","238","","PlaylistTest","","PlaylistTest","addMultipleVioToPlaylist","Add multiple Video To test playlist",""
"broken","Thu Mar 30 16:35:22 GMT 2023","Thu Mar 30 16:35:22 GMT 2023","521","","SearchTest","","SearchTest","searchForAVideoAndValidate","Search for a video and validate",""
"broken","Thu Mar 30 16:35:26 GMT 2023","Thu Mar 30 16:35:26 GMT 2023","141","","VideoPlayTest","","VideoPlayTest","annotationsTest","annotationsTest()",""
"broken","Thu Mar 30 16:35:25 GMT 2023","Thu Mar 30 16:35:25 GMT 2023","264","","VideoPlayTest","","VideoPlayTest","miniplayerTest","miniplayerTest()",""
"broken","Thu Mar 30 16:35:25 GMT 2023","Thu Mar 30 16:35:25 GMT 2023","223","","TestYoutube","","TestYoutube","SubscribeToChannel","SubscribeToChannel()",""
"broken","Thu Mar 30 16:35:24 GMT 2023","Thu Mar 30 16:35:24 GMT 2023","252","","LoginTest","","LoginTest","logOutTest","logOutTest()",""
"broken","Thu Mar 30 16:35:24 GMT 2023","Thu Mar 30 16:35:24 GMT 2023","283","","LoginTest","","LoginTest","loginFunctionTest","loginFunctionTest()",""
"broken","Thu Mar 30 16:35:24 GMT 2023","Thu Mar 30 16:35:24 GMT 2023","237","","LoginTest","","LoginTest","accountSettingsTest","accountSettingsTest()",""
"broken","Thu Mar 30 16:35:24 GMT 2023","Thu Mar 30 16:35:24 GMT 2023","296","","VideoPlayTest","","VideoPlayTest","videoQuality720pTest","videoQuality720pTest()",""
"broken","Thu Mar 30 16:35:23 GMT 2023","Thu Mar 30 16:35:23 GMT 2023","224","","SearchTest","","SearchTest","testSearchInputVariations","Test search input variation while navigate through youtube",""
"broken","Thu Mar 30 16:35:26 GMT 2023","Thu Mar 30 16:35:26 GMT 2023","142","","VideoPlayTest","","VideoPlayTest","videoSpeed05Test","videoSpeed05Test()",""
"broken","Thu Mar 30 16:35:25 GMT 2023","Thu Mar 30 16:35:25 GMT 2023","274","","TestYoutube","","TestYoutube","UnsubscribeFromChannel","UnsubscribeFromChannel()",""
"broken","Thu Mar 30 16:35:24 GMT 2023","Thu Mar 30 16:35:25 GMT 2023","286","","VideoPlayTest","","VideoPlayTest","videoSpeed025Test","videoSpeed025Test()",""
"broken","Thu Mar 30 16:35:22 GMT 2023","Thu Mar 30 16:35:23 GMT 2023","507","","PlaylistTest","","PlaylistTest","goToPlaylist","Go to playlistMenu",""
"broken","Thu Mar 30 16:35:15 GMT 2023","Thu Mar 30 16:35:22 GMT 2023","6871","","SearchTest","","SearchTest","goToLibraryAndDeleteHistory","Delete history",""
"broken","Thu Mar 30 16:35:26 GMT 2023","Thu Mar 30 16:35:26 GMT 2023","147","","VideoPlayTest","","VideoPlayTest","videoSpeed2Test","videoSpeed2Test()",""
"broken","Thu Mar 30 16:35:25 GMT 2023","Thu Mar 30 16:35:25 GMT 2023","246","","VideoPlayTest","","VideoPlayTest","navigateToVideoTest","navigateToVideoTest()",""
"broken","Thu Mar 30 16:35:23 GMT 2023","Thu Mar 30 16:35:23 GMT 2023","306","","SearchTest","","SearchTest","testSearchInoutField","Clear search input after searching",""
"broken","Thu Mar 30 16:35:23 GMT 2023","Thu Mar 30 16:35:24 GMT 2023","343","","PlaylistTest","","PlaylistTest","deletePlaylist","Delete playlist",""
"broken","Thu Mar 30 16:35:25 GMT 2023","Thu Mar 30 16:35:25 GMT 2023","347","","TestYoutube","","TestYoutube","AddCommentAndLike","AddCommentAndLike()",""
"broken","Thu Mar 30 16:35:26 GMT 2023","Thu Mar 30 16:35:26 GMT 2023","154","","VideoPlayTest","","VideoPlayTest","likeDislikeVideoTest","likeDislikeVideoTest()",""
"broken","Thu Mar 30 16:35:23 GMT 2023","Thu Mar 30 16:35:23 GMT 2023","252","","PlaylistTest","","PlaylistTest","addVideoToPlaylist","Add video to already created playlist",""
"broken","Thu Mar 30 16:35:24 GMT 2023","Thu Mar 30 16:35:24 GMT 2023","267","","VideoPlayTest","","VideoPlayTest","videoQuality480pTest","videoQuality480pTest()",""
"broken","Thu Mar 30 16:35:25 GMT 2023","Thu Mar 30 16:35:26 GMT 2023","160","","VideoPlayTest","","VideoPlayTest","playStopActionsTest","playStopActionsTest()",""
"broken","Thu Mar 30 16:35:23 GMT 2023","Thu Mar 30 16:35:23 GMT 2023","248","","PlaylistTest","","PlaylistTest","deleteAnAddedVideoFromPlaylist","Delete previously added video from playlist",""
