"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 30 16:18:48 GMT 2023","Thu Mar 30 16:18:48 GMT 2023","130","","SearchTest","","SearchTest","testWithWronglyWriteInputDate","Search with wrongly write input data",""
"broken","Thu Mar 30 16:18:48 GMT 2023","Thu Mar 30 16:18:49 GMT 2023","134","","SearchTest","","SearchTest","testSearchInputVariations","Test search input variation while navigate through youtube",""
"broken","Thu Mar 30 16:18:50 GMT 2023","Thu Mar 30 16:18:50 GMT 2023","134","","VideoPlayTest","","VideoPlayTest","stopVideoTest","stopVideoTest()",""
"broken","Thu Mar 30 16:18:49 GMT 2023","Thu Mar 30 16:18:49 GMT 2023","134","","LoginTest","","LoginTest","logOutFunctionTest","logOutFunctionTest()",""
"broken","Thu Mar 30 16:18:50 GMT 2023","Thu Mar 30 16:18:50 GMT 2023","134","","VideoPlayTest","","VideoPlayTest","videoSpeed05Test","videoSpeed05Test()",""
"broken","Thu Mar 30 16:18:47 GMT 2023","Thu Mar 30 16:18:47 GMT 2023","139","","PlaylistTest","","PlaylistTest","deleteAnAddedVideoFromPlaylist","Delete previously added video from playlist",""
"broken","Thu Mar 30 16:18:51 GMT 2023","Thu Mar 30 16:18:51 GMT 2023","128","","TestYoutube","","TestYoutube","AddCommentAndLike","AddCommentAndLike()",""
"broken","Thu Mar 30 16:18:50 GMT 2023","Thu Mar 30 16:18:50 GMT 2023","132","","VideoPlayTest","","VideoPlayTest","miniplayerTest","miniplayerTest()",""
"broken","Thu Mar 30 16:18:51 GMT 2023","Thu Mar 30 16:18:51 GMT 2023","130","","TestYoutube","","TestYoutube","UnsubscribeFromChannel","UnsubscribeFromChannel()",""
"broken","Thu Mar 30 16:18:50 GMT 2023","Thu Mar 30 16:18:50 GMT 2023","149","","VideoPlayTest","","VideoPlayTest","theaterModeTest","theaterModeTest()",""
"broken","Thu Mar 30 16:18:50 GMT 2023","Thu Mar 30 16:18:51 GMT 2023","130","","VideoPlayTest","","VideoPlayTest","videoSpeed2Test","videoSpeed2Test()",""
"broken","Thu Mar 30 16:18:51 GMT 2023","Thu Mar 30 16:18:51 GMT 2023","129","","VideoPlayTest","","VideoPlayTest","fullScreenTest","fullScreenTest()",""
